maxLevel,upgradeRate,mergeInterval,beaverInterval,runtime,numExperiment,avgScore,score_trial_1,score_trial_2,score_trial_3,score_trial_4,score_trial_5,score_trial_6,score_trial_7,score_trial_8,score_trial_9,score_trial_10,score_trial_11,score_trial_12,score_trial_13,score_trial_14,score_trial_15,score_trial_16,score_trial_17,score_trial_18,score_trial_19,score_trial_20,score_trial_21,score_trial_22,score_trial_23,score_trial_24,score_trial_25,score_trial_26,score_trial_27,score_trial_28,score_trial_29,score_trial_30
10,0.1,30,200,30000,30,175265040.0,174414600,178294935,176688525,177682830,178865940,176181270,172210455,177226095,172258080,178190625,176248980,170451495,175880490,174700080,170494770,175235385,174429630,177068865,177070845,175773900,176826840,171447390,172394850,174043260,174358380,174945135,175317105,176798100,174436860,178015485
10,0.1,29,200,30000,30,176518266.80000001,176287880,177434250,177272407,174261392,175030678,176555288,178925209,179462688,176753963,174499631,175654024,177324723,178152759,179239614,174084547,177202884,175220935,177613257,177187275,177296845,175776462,173270740,178394965,176112087,173543000,177473376,175609958,175462763,178398455,176045949
10,0.1,28,200,30000,30,177119378.40000001,176351876,177808662,176286854,173724936,179027218,176624404,175054102,176801690,178356252,174621350,180442152,178223402,174619444,177646140,180942560,178520772,177980362,178899404,176608974,178310608,175726030,178195670,175221212,176646650,174415072,178990098,174951540,179077880,176479254,177026784
10,0.1,27,200,30000,30,178591158.76666668,178839434,175610765,177247248,175430418,175151892,180215492,178663453,177905566,175373215,181874976,179231275,178649007,182227120,179289267,181945921,179367364,178064246,178271047,179227593,181095755,177494220,177093171,179968196,176176223,177079400,179471852,180226288,177891827,177142390,181510142
10,0.1,26,200,30000,30,180862307.76666668,179995786,186329871,182638226,179231894,179573410,183109531,178119583,181582000,182794658,181097513,179400880,180271804,180414986,186215494,184094151,177709768,181907146,180888525,179680335,177139670,178156632,178815961,176694671,180207580,181874275,181535589,182629352,183427181,176756060,183576701
10,0.1,25,200,30000,30,182301898.86666667,182044550,179164040,181733516,180553615,180999700,180732440,185559453,181931551,183821601,181708296,176265767,184544432,185271345,183654455,181188383,182094396,183757120,179341891,186149446,180807505,180993874,180019413,180821080,182730841,180687322,183958876,184351073,184302075,188209651,181659259
10,0.12,30,200,30000,30,175215665.5,174591105,173859435,173119110,173088135,170852235,173578260,177499035,178310940,179829405,175785120,173420835,177719460,172621605,176797095,172825500,174656925,175262400,175664160,176352450,174139590,172979925,172570710,176709975,174428520,176587755,178476780,176166765,176456175,176976885,175143675
10,0.12,29,200,30000,30,176625499.73333332,174396423,174991498,173707408,177015443,178932060,178671898,174120606,177590448,180033446,175132841,176826542,174849456,177425202,173660092,176992579,172830455,178754274,176536013,181606484,176589145,173487452,177866850,177703015,177057129,176980291,173319405,176463351,181169897,177520890,176534399
10,0.12,28,200,30000,30,177056464.40000001,174598336,175114504,180863754,171949968,175389714,174209564,176809118,173712712,179698086,178676394,178547528,176685618,177734324,176259264,178528864,179970114,178440712,176384328,180007244,173573730,179163348,177892064,179890530,177468520,177842282,179740656,177281138,171263444,176977148,177020926
10,0.12,27,200,30000,30,179265036.93333334,181806465,175221762,181076887,180755096,178314525,179898526,179299747,177294884,182096942,176245296,179142558,177910208,179912513,180938059,176266593,178969802,180353739,177447244,180757711,178981201,181132501,180421982,178741601,175178468,181362406,177749355,183507441,178453495,179964920,178749181
10,0.12,26,200,30000,30,180874951.30000001,181151879,181477134,185459860,183143958,179271578,177977887,179837986,182142243,181946660,178961447,177596723,
