maxLevel,upgradeRate,mergeInterval,beaverInterval,runtime,numExperiment,avgScore,trial_1,trial_2,trial_3
10,0.1,30,200,100,3,411320.0,412765,410790,410405
10,0.1,29,200,100,3,411802.33333333331,412020,413029,410358
10,0.1,28,200,100,3,413417.33333333331,412048,416976,411228
10,0.1,27,200,100,3,413393.66666666669,412883,411900,415398
10,0.1,26,200,100,3,412471.0,410792,411097,415524
10,0.1,25,200,100,3,411623.66666666669,411468,410621,412782
10,0.12,30,200,100,3,414265.0,417145,410595,415055
10,0.12,29,200,100,3,416003.66666666669,416730,417963,413318
10,0.12,28,200,100,3,415170.66666666669,420792,411900,412820
10,0.12,27,200,100,3,415785.66666666669,420313,415930,411114
10,0.12,26,200,100,3,414266.33333333331,411264,417360,414175
10,0.12,25,200,100,3,413090.66666666669,416043,410658,412571
10,0.14,30,200,100,3,416481.66666666669,417450,416420,415575
10,0.14,29,200,100,3,412221.0,412633,411311,412719
10,0.14,28,200,100,3,414069.33333333331,411888,417628,412692
10,0.14,27,200,100,3,413733.66666666669,413634,411155,416412
10,0.14,26,200,100,3,414330.0,414180,415221,413589
10,0.14,25,200,100,3,411877.0,411568,410419,413644
10,0.16,30,200,100,3,414088.33333333331,414575,415635,412055
10,0.16,29,200,100,3,413721.33333333331,414057,413660,413447
10,0.16,28,200,100,3,412332.0,415600,410104,411292
10,0.16,27,200,100,3,414878.33333333331,412456,414468,417711
10,0.16,26,200,100,3,413971.66666666669,414512,412661,414742
10,0.16,25,200,100,3,414628.0,411745,412346,419793
10,0.18,30,200,100,3,412643.33333333331,411520,415395,411015
10,0.18,29,200,100,3,411440.0,410513,411250,412557
10,0.18,28,200,100,3,413396.0,412504,410840,416844
10,0.18,27,200,100,3,413842.66666666669,413506,412331,415691
10,0.18,26,200,100,3,411824.33333333331,410446,413653,411374
10,0.18,25,200,100,3,413560.0,415368,411619,413693
10,0.2,30,200,100,3,414635.0,414065,416495,413345
10,0.2,29,200,100,3,413985.33333333331,414465,413002,414489
10,0.2,28,200,100,3,412827.33333333331,415016,412644,410822
